Code INSEE,Année,Gagnant réel,Gagnant prédit,Bonne prédiction
7582,2022,Jean-Luc MÉLENCHON,Emmanuel MACRON,False
12022,2022,Emmanuel MACRON,Emmanuel MACRON,True
15014,2017,Marine LE PEN,Marine LE PEN,True
11904,2017,Emmanuel MACRON,Jean-Luc MÉLENCHON,False
25131,2017,Marine LE PEN,Marine LE PEN,True
20078,2017,Marine LE PEN,Marine LE PEN,True
31066,2017,Marine LE PEN,Marine LE PEN,True
562,2022,Marine LE PEN,Marine LE PEN,True
23601,2017,Marine LE PEN,Marine LE PEN,True
22878,2017,Marine LE PEN,Marine LE PEN,True
34712,2022,Marine LE PEN,Marine LE PEN,True
30811,2022,Marine LE PEN,Marine LE PEN,True
7292,2022,Marine LE PEN,Marine LE PEN,True
25155,2017,Emmanuel MACRON,Emmanuel MACRON,True
31555,2017,Marine LE PEN,Marine LE PEN,True
18056,2017,Marine LE PEN,Marine LE PEN,True
17182,2017,Emmanuel MACRON,Emmanuel MACRON,True
16818,2017,Emmanuel MACRON,Emmanuel MACRON,True
13587,2022,Emmanuel MACRON,Emmanuel MACRON,True
29158,2017,Marine LE PEN,Marine LE PEN,True
4772,2022,Emmanuel MACRON,Emmanuel MACRON,True
25998,2017,Marine LE PEN,Marine LE PEN,True
20910,2022,Marine LE PEN,Marine LE PEN,True
25379,2022,Emmanuel MACRON,Emmanuel MACRON,True
30463,2022,Marine LE PEN,Marine LE PEN,True
23866,2022,Marine LE PEN,Marine LE PEN,True
7383,2017,Emmanuel MACRON,Emmanuel MACRON,True
12584,2022,Marine LE PEN,Marine LE PEN,True
14305,2017,Marine LE PEN,Marine LE PEN,True
23265,2022,Emmanuel MACRON,Emmanuel MACRON,True
10063,2017,François FILLON,François FILLON,True
10138,2017,Marine LE PEN,Marine LE PEN,True
7073,2022,Marine LE PEN,Marine LE PEN,True
21240,2017,Marine LE PEN,Marine LE PEN,True
19917,2017,Marine LE PEN,Marine LE PEN,True
33237,2017,Marine LE PEN,Marine LE PEN,True
22801,2022,Marine LE PEN,Marine LE PEN,True
32511,2017,Marine LE PEN,Marine LE PEN,True
31829,2022,Marine LE PEN,Marine LE PEN,True
30599,2017,Marine LE PEN,Marine LE PEN,True
14180,2022,Marine LE PEN,Marine LE PEN,True
21071,2017,Marine LE PEN,Marine LE PEN,True
23753,2022,Marine LE PEN,Marine LE PEN,True
6784,2017,Marine LE PEN,Marine LE PEN,True
18628,2022,Marine LE PEN,Marine LE PEN,True
15769,2017,Marine LE PEN,Marine LE PEN,True
18718,2017,Marine LE PEN,Marine LE PEN,True
26680,2022,Marine LE PEN,Marine LE PEN,True
19290,2022,Marine LE PEN,Marine LE PEN,True
34473,2017,François FILLON,Emmanuel MACRON,False
13041,2017,Jean-Luc MÉLENCHON,Jean-Luc MÉLENCHON,True
6053,2017,François FILLON,François FILLON,True
20005,2017,Jean-Luc MÉLENCHON,Emmanuel MACRON,False
1261,2022,Jean-Luc MÉLENCHON,Emmanuel MACRON,False
6977,2022,Marine LE PEN,Marine LE PEN,True
6329,2017,Marine LE PEN,Marine LE PEN,True
27830,2017,Marine LE PEN,Marine LE PEN,True
16819,2017,Emmanuel MACRON,Emmanuel MACRON,True
28863,2022,Marine LE PEN,Marine LE PEN,True
12156,2017,Emmanuel MACRON,Emmanuel MACRON,True
25788,2017,Jean-Luc MÉLENCHON,Jean-Luc MÉLENCHON,True
35625,2022,Emmanuel MACRON,Emmanuel MACRON,True
15134,2022,Marine LE PEN,Marine LE PEN,True
24064,2022,Marine LE PEN,Marine LE PEN,True
10240,2017,Emmanuel MACRON,Emmanuel MACRON,True
12147,2022,Marine LE PEN,Marine LE PEN,True
26103,2017,Jean-Luc MÉLENCHON,Emmanuel MACRON,False
10119,2022,Marine LE PEN,Marine LE PEN,True
24771,2022,Marine LE PEN,Marine LE PEN,True
3003,2017,Marine LE PEN,Marine LE PEN,True
890,2022,Marine LE PEN,Marine LE PEN,True
28054,2017,Marine LE PEN,Marine LE PEN,True
3062,2022,Emmanuel MACRON,Jean-Luc MÉLENCHON,False
8024,2017,Marine LE PEN,Marine LE PEN,True
15148,2022,Marine LE PEN,Marine LE PEN,True
21158,2017,Marine LE PEN,Marine LE PEN,True
17519,2022,Marine LE PEN,Marine LE PEN,True
27201,2022,Marine LE PEN,Marine LE PEN,True
26312,2017,Marine LE PEN,Marine LE PEN,True
21691,2022,Marine LE PEN,Marine LE PEN,True
777,2022,Marine LE PEN,Marine LE PEN,True
25016,2022,Emmanuel MACRON,Emmanuel MACRON,True
9650,2017,Marine LE PEN,Marine LE PEN,True
19738,2017,Marine LE PEN,Marine LE PEN,True
2423,2022,Marine LE PEN,Marine LE PEN,True
34913,2022,Emmanuel MACRON,Emmanuel MACRON,True
20849,2017,Emmanuel MACRON,Emmanuel MACRON,True
6300,2022,Emmanuel MACRON,Emmanuel MACRON,True
7984,2022,Marine LE PEN,Marine LE PEN,True
24525,2017,Marine LE PEN,Marine LE PEN,True
17834,2017,Emmanuel MACRON,Emmanuel MACRON,True
21433,2022,Marine LE PEN,Marine LE PEN,True
9922,2022,Marine LE PEN,Marine LE PEN,True
8377,2017,Marine LE PEN,Marine LE PEN,True
10382,2022,Emmanuel MACRON,Emmanuel MACRON,True
30682,2017,François FILLON,Emmanuel MACRON,False
11285,2022,Marine LE PEN,Marine LE PEN,True
8621,2022,Marine LE PEN,Marine LE PEN,True
24627,2017,Marine LE PEN,Marine LE PEN,True
24060,2022,Emmanuel MACRON,Emmanuel MACRON,True
10559,2017,Emmanuel MACRON,Emmanuel MACRON,True
16597,2022,Emmanuel MACRON,Emmanuel MACRON,True
5762,2017,Marine LE PEN,Marine LE PEN,True
1116,2022,Marine LE PEN,Marine LE PEN,True
5366,2017,Marine LE PEN,Marine LE PEN,True
18193,2017,François FILLON,François FILLON,True
2391,2017,Jean-Luc MÉLENCHON,Jean-Luc MÉLENCHON,True
16179,2017,Marine LE PEN,Marine LE PEN,True
2797,2017,Marine LE PEN,Marine LE PEN,True
14490,2017,Marine LE PEN,Marine LE PEN,True
3961,2022,Marine LE PEN,Marine LE PEN,True
17585,2022,Marine LE PEN,Marine LE PEN,True
23672,2017,François FILLON,François FILLON,True
