Code INSEE,Année,Gagnant réel,Gagnant prédit,Bonne prédiction
22696,2022,Marine LE PEN,Marine LE PEN,True
22697,2022,Marine LE PEN,Marine LE PEN,True
22698,2022,Marine LE PEN,Marine LE PEN,True
22699,2022,Marine LE PEN,Marine LE PEN,True
22700,2022,Marine LE PEN,Marine LE PEN,True
22701,2022,Marine LE PEN,Marine LE PEN,True
22702,2022,Marine LE PEN,Marine LE PEN,True
22703,2022,Emmanuel MACRON,François FILLON,False
22704,2022,Marine LE PEN,Marine LE PEN,True
22705,2022,Marine LE PEN,Marine LE PEN,True
22706,2022,Marine LE PEN,Marine LE PEN,True
22707,2022,Marine LE PEN,Marine LE PEN,True
22708,2022,Marine LE PEN,Marine LE PEN,True
22709,2022,Marine LE PEN,Marine LE PEN,True
22710,2022,Marine LE PEN,Marine LE PEN,True
22711,2022,Emmanuel MACRON,François FILLON,False
22712,2022,Marine LE PEN,Marine LE PEN,True
22713,2022,Emmanuel MACRON,Jean-Luc MÉLENCHON,False
22714,2022,Marine LE PEN,Marine LE PEN,True
22715,2022,Emmanuel MACRON,François FILLON,False
22716,2022,Marine LE PEN,Marine LE PEN,True
22717,2022,Marine LE PEN,Marine LE PEN,True
22718,2022,Marine LE PEN,Marine LE PEN,True
22719,2022,Emmanuel MACRON,François FILLON,False
22720,2022,Emmanuel MACRON,François FILLON,False
22721,2022,Marine LE PEN,Marine LE PEN,True
22722,2022,Emmanuel MACRON,Jean-Luc MÉLENCHON,False
22723,2022,Marine LE PEN,Marine LE PEN,True
22724,2022,Emmanuel MACRON,François FILLON,False
22725,2022,Emmanuel MACRON,François FILLON,False
22726,2022,Marine LE PEN,Marine LE PEN,True
22727,2022,Marine LE PEN,Marine LE PEN,True
22728,2022,Marine LE PEN,Marine LE PEN,True
22729,2022,Marine LE PEN,Marine LE PEN,True
22730,2022,Marine LE PEN,Marine LE PEN,True
22731,2022,Marine LE PEN,Marine LE PEN,True
22732,2022,Emmanuel MACRON,Jean-Luc MÉLENCHON,False
22733,2022,Marine LE PEN,Marine LE PEN,True
22734,2022,Emmanuel MACRON,François FILLON,False
22735,2022,Marine LE PEN,Marine LE PEN,True
22736,2022,Emmanuel MACRON,François FILLON,False
22737,2022,Marine LE PEN,Marine LE PEN,True
22738,2022,Marine LE PEN,Marine LE PEN,True
22739,2022,Marine LE PEN,Marine LE PEN,True
22740,2022,Marine LE PEN,Marine LE PEN,True
22741,2022,Marine LE PEN,Marine LE PEN,True
22742,2022,Marine LE PEN,Marine LE PEN,True
22743,2022,Marine LE PEN,Marine LE PEN,True
22744,2022,Emmanuel MACRON,Emmanuel MACRON,True
22745,2022,Marine LE PEN,Marine LE PEN,True
22746,2022,Emmanuel MACRON,François FILLON,False
22747,2022,Marine LE PEN,Marine LE PEN,True
22748,2022,Marine LE PEN,Marine LE PEN,True
22749,2022,Marine LE PEN,Marine LE PEN,True
22750,2022,Marine LE PEN,Marine LE PEN,True
22751,2022,Marine LE PEN,Marine LE PEN,True
22752,2022,Marine LE PEN,Marine LE PEN,True
22753,2022,Marine LE PEN,Marine LE PEN,True
