Code INSEE,Année,Gagnant réel,Gagnant prédit,Bonne prédiction
8745,2017,Marine LE PEN,Marine LE PEN,True
34353,2022,Marine LE PEN,Marine LE PEN,True
1813,2022,Emmanuel MACRON,Jean-Luc MÉLENCHON,False
5149,2017,François FILLON,Emmanuel MACRON,False
24414,2017,Marine LE PEN,Marine LE PEN,True
14971,2017,Marine LE PEN,Marine LE PEN,True
6457,2017,Emmanuel MACRON,Emmanuel MACRON,True
4082,2017,Emmanuel MACRON,Emmanuel MACRON,True
4039,2017,Jean-Luc MÉLENCHON,Jean-Luc MÉLENCHON,True
26702,2017,Marine LE PEN,Marine LE PEN,True
29942,2022,Marine LE PEN,Marine LE PEN,True
17895,2022,Emmanuel MACRON,Emmanuel MACRON,True
3189,2017,Marine LE PEN,Marine LE PEN,True
16722,2022,Marine LE PEN,Marine LE PEN,True
15131,2022,Jean-Luc MÉLENCHON,Emmanuel MACRON,False
28860,2017,Marine LE PEN,Marine LE PEN,True
15406,2017,Marine LE PEN,Marine LE PEN,True
9148,2022,Emmanuel MACRON,Jean-Luc MÉLENCHON,False
16380,2022,Jean-Luc MÉLENCHON,Emmanuel MACRON,False
2898,2017,Benoît HAMON,Jean-Luc MÉLENCHON,False
6700,2022,Marine LE PEN,Marine LE PEN,True
3282,2022,Emmanuel MACRON,Emmanuel MACRON,True
24121,2022,Emmanuel MACRON,Emmanuel MACRON,True
7769,2022,Jean-Luc MÉLENCHON,Emmanuel MACRON,False
23531,2017,Marine LE PEN,Marine LE PEN,True
28550,2022,Jean-Luc MÉLENCHON,Emmanuel MACRON,False
11497,2017,Jean-Luc MÉLENCHON,Jean-Luc MÉLENCHON,True
27294,2017,Marine LE PEN,Marine LE PEN,True
11848,2022,Jean-Luc MÉLENCHON,Emmanuel MACRON,False
28941,2017,Marine LE PEN,Marine LE PEN,True
30927,2022,Emmanuel MACRON,Emmanuel MACRON,True
35174,2017,Marine LE PEN,Marine LE PEN,True
13369,2017,Emmanuel MACRON,François FILLON,False
10249,2022,Emmanuel MACRON,Emmanuel MACRON,True
24638,2017,François FILLON,François FILLON,True
15733,2017,Marine LE PEN,Marine LE PEN,True
29110,2017,François FILLON,François FILLON,True
11094,2017,Marine LE PEN,Marine LE PEN,True
3226,2022,Marine LE PEN,Marine LE PEN,True
34839,2022,Emmanuel MACRON,Jean-Luc MÉLENCHON,False
34989,2022,Emmanuel MACRON,Emmanuel MACRON,True
17374,2022,Marine LE PEN,Marine LE PEN,True
16059,2022,Marine LE PEN,Marine LE PEN,True
16462,2017,Marine LE PEN,Marine LE PEN,True
13462,2022,Emmanuel MACRON,Emmanuel MACRON,True
1753,2022,Marine LE PEN,Marine LE PEN,True
28338,2017,Marine LE PEN,Marine LE PEN,True
540,2022,Marine LE PEN,Marine LE PEN,True
26487,2022,Marine LE PEN,Marine LE PEN,True
3927,2017,Jean-Luc MÉLENCHON,Jean-Luc MÉLENCHON,True
392,2022,Marine LE PEN,Marine LE PEN,True
22847,2017,Marine LE PEN,Marine LE PEN,True
28418,2017,Marine LE PEN,Marine LE PEN,True
23923,2017,Marine LE PEN,Marine LE PEN,True
32497,2017,Emmanuel MACRON,Emmanuel MACRON,True
3388,2017,Marine LE PEN,Marine LE PEN,True
12277,2017,Jean-Luc MÉLENCHON,Emmanuel MACRON,False
28439,2017,Marine LE PEN,Marine LE PEN,True
24229,2022,Marine LE PEN,Marine LE PEN,True
32016,2017,Marine LE PEN,Marine LE PEN,True
18555,2017,Marine LE PEN,Marine LE PEN,True
24847,2022,Marine LE PEN,Marine LE PEN,True
19416,2017,Marine LE PEN,Marine LE PEN,True
2980,2017,Emmanuel MACRON,Jean-Luc MÉLENCHON,False
545,2017,Marine LE PEN,Marine LE PEN,True
4044,2017,Jean-Luc MÉLENCHON,Jean-Luc MÉLENCHON,True
9022,2017,François FILLON,François FILLON,True
28552,2022,Marine LE PEN,Marine LE PEN,True
12800,2022,Marine LE PEN,Marine LE PEN,True
1389,2022,Marine LE PEN,Marine LE PEN,True
32387,2017,Jean-Luc MÉLENCHON,Emmanuel MACRON,False
12565,2022,Marine LE PEN,Marine LE PEN,True
26443,2017,Marine LE PEN,Marine LE PEN,True
4614,2022,Marine LE PEN,Marine LE PEN,True
15999,2022,Emmanuel MACRON,Emmanuel MACRON,True
9344,2022,Jean-Luc MÉLENCHON,Jean-Luc MÉLENCHON,True
7726,2017,Emmanuel MACRON,Emmanuel MACRON,True
19310,2017,Emmanuel MACRON,François FILLON,False
9431,2017,Marine LE PEN,Marine LE PEN,True
5535,2022,Marine LE PEN,Marine LE PEN,True
5361,2022,Emmanuel MACRON,Emmanuel MACRON,True
1583,2022,Emmanuel MACRON,Jean-Luc MÉLENCHON,False
3079,2022,Emmanuel MACRON,Jean-Luc MÉLENCHON,False
